Candidato,Ipsos,Canal,Entrevistas,Fecha 1,Fecha 2
MA,0.007,RPP,2,1/01/2021,28/03/2021
MA,0.007,Latina,0,1/01/2021,28/03/2021
MA,0.007,ATV,1,1/01/2021,28/03/2021
MA,0.007,Panam,1,1/01/2021,28/03/2021
MA,0.007,TV Peru,2,1/01/2021,28/03/2021
MA,0.007,America,0,1/01/2021,28/03/2021
JV,0.008,Williax,1,1/01/2021,28/03/2021
JV,0.008,Canal N,1,1/01/2021,28/03/2021
JV,0.008,RPP,3,1/01/2021,28/03/2021
JV,0.008,Latina,0,1/01/2021,28/03/2021
JV,0.008,ATV,1,1/01/2021,28/03/2021
JV,0.008,Panam,0,1/01/2021,28/03/2021
JV,0.008,TV Peru,0,1/01/2021,28/03/2021
JV,0.008,America,0,1/01/2021,28/03/2021
RS,0.006,Williax,1,1/01/2021,28/03/2021
RS,0.006,Canal N,0,1/01/2021,28/03/2021
RS,0.006,RPP,3,1/01/2021,28/03/2021
RS,0.006,Latina,0,1/01/2021,28/03/2021
RS,0.006,ATV,2,1/01/2021,28/03/2021
RS,0.006,Panam,2,1/01/2021,28/03/2021
RS,0.006,TV Peru,1,1/01/2021,28/03/2021
RS,0.006,America,0,1/01/2021,28/03/2021
YL,0.12,Williax,0,1/01/2021,28/03/2021
YL,0.12,Canal N,12,1/01/2021,28/03/2021
YL,0.12,RPP,4,1/01/2021,28/03/2021
YL,0.12,Latina,15,1/01/2021,28/03/2021
YL,0.12,ATV,2,1/01/2021,28/03/2021
YL,0.12,Panam,3,1/01/2021,28/03/2021
YL,0.12,TV Peru,3,1/01/2021,28/03/2021
YL,0.12,America,3,1/01/2021,28/03/2021
OH,0.02,Williax,0,1/01/2021,28/03/2021
OH,0.02,Canal N,9,1/01/2021,28/03/2021
OH,0.02,RPP,5,1/01/2021,28/03/2021
OH,0.02,Latina,0,1/01/2021,28/03/2021
OH,0.02,ATV,4,1/01/2021,28/03/2021
OH,0.02,Panam,1,1/01/2021,28/03/2021
OH,0.02,TV Peru,3,1/01/2021,28/03/2021
OH,0.02,America,1,1/01/2021,28/03/2021
VM,0.102,Williax,0,1/01/2021,28/03/2021
